#"Step","Potential Energy","Kinetic Energy","Total Energy","Temperature (R.U.)"
1000,-60.58155541308224,59.44942319020629,-1.1321322228759527,0.6192648248977408
2000,-60.377554301172495,75.530119497329,15.152565196156502,0.7867720780968706
3000,-46.02122409641743,70.8949208362028,24.873696739785373,0.7384887587101581
4000,-43.82720424979925,78.54477152600884,34.71756727620959,0.8181747033956066
5000,-16.21512771770358,93.4817848354578,77.26665711775422,0.9737685920356393
6000,-31.175223540514708,114.98640711698681,83.8111835764721,1.1977750741348128
7000,-21.402827605605125,91.08644593134522,69.6836183257401,0.9488171451178097
8000,-24.019285302609205,95.95674092927948,71.93745562667027,0.999549384679605
9000,-13.746896000579,82.26291359961033,68.51601759903133,0.856905349995607
10000,-8.16437128931284,93.03361832350492,84.86924703419209,0.9691001908694653
11000,-10.729357838630676,89.47411518543959,78.74475734680891,0.9320220331812992
12000,-6.859819829463959,88.07662130147219,81.21680147200823,0.9174648052233112
13000,-6.025040078908205,92.3521182090044,86.3270781300962,0.962001231343421
14000,-22.444251611828804,107.8285721577704,85.38432054594159,1.1232142933096705
15000,-22.468304440379143,107.56893216073513,85.10062772035599,1.120509710007221
16000,-17.81455159187317,102.08878008276224,84.27422849088907,1.063424792528359
17000,-20.765730880200863,92.27211985737085,71.50638897716999,0.9611679151805718
18000,-18.6827161796391,91.49837113916874,72.81565495952964,0.953108032699303
19000,-20.303377825766802,103.12671495974064,82.82333713397384,1.0742366141635462
20000,-18.13784349244088,99.5384633205831,81.40061982814223,1.0368589929223366
21000,-5.2196429669857025,95.31138195842505,90.09173899143934,0.992826895399874
22000,-23.9735693000257,115.39425221085548,91.42068291082978,1.202023460529276
23000,-8.153889883309603,93.80156944692135,85.64767956361175,0.9770996817383832
24000,-16.375687915831804,77.44635462760925,61.07066671177745,0.8067328607039486
25000,-31.57846038788557,100.09678892791271,68.51832854002714,1.042674884665351
26000,-3.351057857275009,89.85164478421211,86.5005869269371,0.9359546331685115
27000,-2.327312581241131,84.82695788890123,82.4996453076601,0.8836141446757102
28000,-16.357799045741558,100.70301386713982,84.34521482139826,1.0489897277822977
29000,-11.783602261915803,86.43639828637242,74.65279602445662,0.9003791488160285
30000,-22.84850429557264,88.01779394596815,65.16928965039551,0.9168520202701442
31000,-18.89050035085529,87.48569044470787,68.59519009385258,0.9113092754653518
32000,-30.134434076026082,94.26127219945192,64.12683812342584,0.9818882520772415
33000,3.6551498267799616,85.97872383147478,89.63387365825474,0.8956117065775133
34000,-18.2952004885301,98.18019763566554,79.88499714713544,1.0227103920377842
35000,-31.94162306189537,108.72743683308363,76.78581377118826,1.1325774670108464
36000,-29.861608805134892,100.2993893250823,70.43778051994741,1.0447853054692
37000,1.6167220761999488,79.76329326629639,81.38001534249634,0.8308676381902635
38000,-3.8473882377147675,92.37796181812882,88.53057358041406,0.9622704356051336
39000,-14.10617209970951,82.92773981764913,68.82156771793962,0.8638306231001751
40000,-12.077696826308966,92.08322418481112,80.00552735850215,0.959200251924742
41000,-22.82163365930319,98.15997911989689,75.3383454605937,1.0224997824985276
42000,-15.07747844234109,97.54995432496071,82.47247588261962,1.016145357551278
43000,-18.289277113974094,94.64629719406366,76.35702008008957,0.9858989291044457
44000,2.88459575176239,77.60846950672567,80.49306525848806,0.8084215573614107
45000,3.24088591709733,78.32019151374698,81.5610774308443,0.8158353282678797
46000,-9.496074765920639,101.89746522903442,92.40139046311378,1.061431929468695
